                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2912,                 4.7195,                  1.227,                0.33715,                 0.2692,                0.07695,                 0.0399,                 1.8187,                 2.8877,                 1.0917,             0.00012257,             0.00012257,             0.00012257
                      2,                 1.9518,                 3.4339,                 1.0549,                0.14588,                0.22501,                0.13361,                0.07212,                 1.7502,                 2.5758,                 1.0538,             0.00016475,             0.00016475,             0.00016475
                      3,                 1.8451,                 3.0103,                  1.039,                0.20009,                0.27427,                0.14847,                0.08028,                 1.6903,                  2.413,                 1.0425,             0.00012554,             0.00012554,             0.00012554
