                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4601,                 1.2892,                 0.9419,                0.31419,                0.40016,                0.28964,                0.16353,                 1.5421,                 1.7747,                 1.0132,             0.00030773,             0.00030773,             0.00030773
                     36,                 1.4131,                 1.2113,                0.94339,                0.32138,                0.41252,                0.28455,                0.15878,                 1.5566,                 1.8548,                 1.0132,              0.0003059,              0.0003059,              0.0003059
                     37,                 1.4234,                 1.2146,                0.94391,                0.24672,                0.43047,                0.31729,                0.18427,                 1.5407,                  1.859,                 1.0139,             0.00030407,             0.00030407,             0.00030407
                     38,                  1.388,                 1.1811,                0.93049,                0.37552,                0.30824,                0.29471,                0.16642,                 1.5655,                 1.9239,                 1.0216,             0.00030223,             0.00030223,             0.00030223
                     39,                 1.4338,                 1.1892,                0.93801,                0.31768,                0.37285,                0.32135,                0.19188,                 1.5453,                 1.8275,                  1.014,              0.0003004,              0.0003004,              0.0003004
                     40,                  1.413,                 1.1931,                0.94093,                0.24005,                0.43002,                0.29815,                0.17744,                 1.5645,                 1.9909,                 1.0242,             0.00029857,             0.00029857,             0.00029857
                     41,                 1.3963,                 1.1842,                0.93348,                0.31451,                0.30782,                0.31108,                0.19624,                 1.5613,                 1.9041,                 1.0189,             0.00029674,             0.00029674,             0.00029674
                     42,                 1.3632,                 1.1495,                0.92733,                0.28771,                0.39271,                0.28957,                0.17635,                  1.532,                 1.9915,                 1.0098,             0.00029491,             0.00029491,             0.00029491
                     43,                 1.4036,                 1.1593,                0.93077,                0.37957,                 0.3059,                0.25517,                0.14903,                 1.5648,                 1.9837,                 1.0142,             0.00029308,             0.00029308,             0.00029308
                     44,                 1.3821,                 1.1267,                0.92567,                0.38044,                0.35885,                0.33385,                0.19459,                 1.5225,                 1.8954,                 1.0055,             0.00029125,             0.00029125,             0.00029125
                     45,                 1.3672,                 1.1115,                0.93074,                0.37445,                0.34965,                0.33307,                0.19094,                 1.5604,                 1.8498,                 1.0189,             0.00028941,             0.00028941,             0.00028941
                     46,                 1.3642,                 1.0878,                0.92799,                0.39075,                0.37239,                0.32574,                0.18067,                 1.6045,                 1.8144,                 1.0334,             0.00028758,             0.00028758,             0.00028758
                     47,                 1.3586,                 1.0819,                0.92895,                0.28194,                0.43749,                0.34189,                0.18988,                 1.5497,                 1.9845,                 1.0117,             0.00028575,             0.00028575,             0.00028575
                     48,                 1.3457,                 1.0839,                0.92416,                0.30404,                0.40779,                0.29961,                0.17145,                 1.5105,                 1.8339,                 1.0035,             0.00028392,             0.00028392,             0.00028392
                     49,                 1.3553,                 1.0593,                0.92526,                 0.3454,                0.35931,                0.30151,                0.17291,                 1.5671,                 1.7837,                 1.0213,             0.00028209,             0.00028209,             0.00028209
                     50,                  1.367,                  1.041,                0.92611,                0.35187,                 0.3565,                0.35317,                0.20229,                 1.5929,                 1.8958,                 1.0231,             0.00028026,             0.00028026,             0.00028026
                     51,                 1.3609,                 1.0512,                0.92586,                0.32285,                0.31414,                0.27506,                0.15214,                 1.5891,                 1.8483,                 1.0275,             0.00027842,             0.00027842,             0.00027842
                     52,                 1.3505,                 1.0463,                0.92293,                0.29777,                0.35658,                0.29542,                0.17176,                  1.549,                 1.9912,                 1.0125,             0.00027659,             0.00027659,             0.00027659
                     53,                 1.3573,                  1.026,                0.91969,                0.32552,                0.42474,                0.29929,                0.17376,                 1.5616,                 1.9698,                  1.014,             0.00027476,             0.00027476,             0.00027476
                     54,                 1.3392,                 1.0123,                0.92196,                0.45597,                0.36834,                 0.3389,                0.19154,                 1.5572,                 2.0402,                 1.0126,             0.00027293,             0.00027293,             0.00027293
                     55,                 1.3433,                 1.0143,                0.92033,                0.24293,                0.40641,                0.29767,                0.17235,                 1.5672,                 2.0166,                 1.0131,              0.0002711,              0.0002711,              0.0002711
