                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7904,                 1.7471,                0.95785,                0.34129,                0.23515,                0.19657,                 0.1063,                 1.7577,                 2.3073,                 1.0242,             0.00033886,             0.00033886,             0.00033886
                     36,                 1.7926,                 1.7331,                0.95816,                 0.1794,                0.23898,                0.20373,                0.11064,                 1.7504,                 2.1723,                 1.0035,             0.00033795,             0.00033795,             0.00033795
                     37,                  1.792,                 1.7185,                0.95022,                0.21456,                 0.2347,                0.18429,                 0.1028,                 1.7507,                 2.4301,                 1.0158,             0.00033703,             0.00033703,             0.00033703
                     38,                 1.7998,                 1.7178,                0.95216,                0.25434,                0.23336,                 0.1912,                0.10211,                 1.7471,                 2.3369,                 1.0163,             0.00033612,             0.00033612,             0.00033612
                     39,                 1.8318,                 1.7193,                0.95286,                0.20615,                 0.2212,                0.18146,                0.09537,                  1.728,                 2.4312,                  1.005,              0.0003352,              0.0003352,              0.0003352
                     40,                 1.7879,                 1.6733,                0.95402,                0.27774,                0.20974,                0.16614,                0.09164,                 1.7615,                 2.3981,                 1.0087,             0.00033429,             0.00033429,             0.00033429
                     41,                 1.7812,                 1.6451,                0.95114,                0.16939,                0.24424,                0.15121,                0.08304,                 1.7538,                 2.4975,                 1.0171,             0.00033337,             0.00033337,             0.00033337
                     42,                 1.7732,                 1.6156,                0.95225,                0.25513,                0.25707,                 0.1825,                0.09987,                 1.6989,                 2.3146,                 1.0013,             0.00033245,             0.00033245,             0.00033245
                     43,                 1.7722,                 1.6099,                0.95548,                 0.2208,                0.32122,                0.22121,                0.12933,                 1.6822,                 2.1382,                0.99805,             0.00033154,             0.00033154,             0.00033154
                     44,                 1.8168,                 1.6286,                0.95377,                0.26427,                0.26328,                 0.2043,                0.11666,                 1.7091,                 2.2556,                 1.0075,             0.00033062,             0.00033062,             0.00033062
                     45,                 1.7851,                 1.5838,                0.94277,                0.17855,                0.24532,                0.19502,                0.11647,                 1.6973,                 2.3609,                0.99663,             0.00032971,             0.00032971,             0.00032971
                     46,                 1.7494,                 1.5343,                 0.9474,                0.24029,                 0.2843,                0.20722,                0.11822,                  1.762,                 2.1702,                 1.0206,             0.00032879,             0.00032879,             0.00032879
                     47,                 1.7317,                 1.5316,                0.94956,                0.22817,                0.25621,                0.20584,                0.11981,                 1.7791,                  2.366,                  1.013,             0.00032788,             0.00032788,             0.00032788
                     48,                 1.7391,                 1.4861,                0.94453,                0.21192,                0.22788,                0.20557,                0.12344,                 1.7259,                 2.4395,                 1.0028,             0.00032696,             0.00032696,             0.00032696
                     49,                 1.7138,                 1.4598,                0.94711,                0.23132,                0.24423,                0.21893,                0.13008,                 1.7289,                 2.3633,                  1.011,             0.00032604,             0.00032604,             0.00032604
                     50,                 1.7163,                 1.4733,                 0.9346,                0.18279,                0.34613,                0.23571,                0.13673,                 1.6934,                 2.2041,                 1.0012,             0.00032513,             0.00032513,             0.00032513
                     51,                 1.6993,                 1.4597,                0.93811,                0.17368,                0.20883,                0.18936,                0.10798,                 1.7393,                 2.2626,                   1.01,             0.00032421,             0.00032421,             0.00032421
                     52,                 1.7312,                 1.4461,                0.94703,                0.38584,                0.16893,                0.18611,                0.11368,                 1.7081,                 2.1827,                 1.0067,              0.0003233,              0.0003233,              0.0003233
                     53,                  1.726,                 1.4468,                0.94513,                0.20508,                0.30068,                0.20665,                0.12557,                 1.7334,                 2.4298,                 1.0196,             0.00032238,             0.00032238,             0.00032238
                     54,                 1.7468,                 1.4542,                0.93431,                0.35312,                0.23258,                0.21137,                0.12166,                 1.7397,                 2.3347,                 1.0037,             0.00032147,             0.00032147,             0.00032147
                     55,                 1.7271,                 1.4634,                0.93988,                0.24613,                0.24443,                0.20862,                0.12143,                 1.7277,                 2.1278,                  1.016,             0.00032055,             0.00032055,             0.00032055
                     56,                 1.7171,                 1.4319,                0.94548,                0.20074,                0.23236,                0.20224,                0.10937,                 1.7806,                 2.2104,                 1.0212,             0.00031963,             0.00031963,             0.00031963
                     57,                 1.6834,                 1.3649,                0.93299,                0.20175,                0.28281,                0.18308,                0.10029,                 1.7732,                 2.2518,                 1.0195,             0.00031872,             0.00031872,             0.00031872
                     58,                 1.6984,                 1.3918,                0.93462,                0.23947,                0.25735,                0.18941,                0.10824,                 1.7231,                 2.2156,                 1.0117,              0.0003178,              0.0003178,              0.0003178
                     59,                 1.6893,                 1.3828,                0.93343,                0.18743,                0.20078,                0.17733,                0.10099,                 1.7036,                 2.2445,                 1.0013,             0.00031689,             0.00031689,             0.00031689
                     60,                 1.6865,                 1.3806,                0.93435,                0.21047,                0.26672,                0.18057,                0.09935,                 1.7556,                 2.2729,                 1.0119,             0.00031597,             0.00031597,             0.00031597
                     61,                 1.6981,                 1.3692,                0.93195,                0.19601,                0.21623,                0.17877,                0.10477,                 1.7129,                 2.3345,                0.99404,             0.00031506,             0.00031506,             0.00031506
                     62,                 1.6812,                 1.3176,                0.93314,                0.26031,                0.19301,                0.17979,                0.10399,                 1.7437,                 2.3123,                 1.0157,             0.00031414,             0.00031414,             0.00031414
                     63,                 1.6543,                  1.343,                0.93738,                 0.2643,                0.25341,                0.17572,                0.10056,                  1.755,                 2.3794,                   1.02,             0.00031322,             0.00031322,             0.00031322
                     64,                 1.7248,                 1.3715,                0.93048,                0.18197,                0.27879,                0.16743,                0.09968,                 1.7625,                 2.6435,                 1.0061,             0.00031231,             0.00031231,             0.00031231
                     65,                 1.6656,                 1.3181,                0.92774,                0.26599,                0.27774,                 0.2032,                0.11875,                 1.7264,                 2.2614,                 1.0079,             0.00031139,             0.00031139,             0.00031139
                     66,                  1.654,                 1.2986,                0.92401,                0.25817,                0.20378,                0.21012,                0.12269,                 1.6941,                 2.2362,                 1.0021,             0.00031048,             0.00031048,             0.00031048
                     67,                 1.6724,                 1.2788,                0.93279,                0.25827,                0.23148,                0.17458,                 0.0968,                 1.7512,                 2.4375,                 1.0254,             0.00030956,             0.00030956,             0.00030956
                     68,                 1.6543,                 1.2714,                0.92608,                0.20019,                0.22983,                0.20052,                0.11188,                 1.7809,                   2.27,                 1.0182,             0.00030864,             0.00030864,             0.00030864
                     69,                 1.6189,                 1.2588,                0.93068,                0.19925,                0.17656,                0.15765,                0.09254,                 1.8023,                  2.357,                 1.0271,             0.00030773,             0.00030773,             0.00030773
                     70,                 1.6707,                  1.268,                0.92589,                 0.2976,                0.20858,                0.17896,                0.10141,                  1.762,                 2.2593,                 1.0166,             0.00030681,             0.00030681,             0.00030681
                     71,                 1.6424,                 1.2316,                0.92202,                0.17534,                0.23407,                  0.209,                0.11919,                 1.7735,                 2.1581,                 1.0312,              0.0003059,              0.0003059,              0.0003059
                     72,                 1.6554,                 1.2497,                0.91756,                0.19259,                0.24751,                0.21798,                0.12175,                 1.6985,                  2.106,                 1.0037,             0.00030498,             0.00030498,             0.00030498
                     73,                 1.6174,                 1.1991,                0.92521,                0.18483,                0.27904,                0.21332,                0.12098,                 1.7086,                 2.0592,                 1.0049,             0.00030407,             0.00030407,             0.00030407
                     74,                 1.6781,                 1.2866,                0.92818,                0.17777,                0.29268,                0.20365,                 0.1222,                 1.7651,                 2.4301,                 1.0189,             0.00030315,             0.00030315,             0.00030315
                     75,                 1.6499,                 1.2283,                0.92458,                0.17659,                0.29542,                0.21265,                0.12426,                  1.714,                 2.3676,                 1.0022,             0.00030223,             0.00030223,             0.00030223
                     76,                 1.6422,                 1.1911,                0.92968,                 0.1919,                0.32036,                0.22382,                0.13302,                 1.6943,                 2.2409,                  1.005,             0.00030132,             0.00030132,             0.00030132
                     77,                 1.5685,                 1.1342,                0.92417,                0.25911,                0.30338,                0.25226,                0.14743,                 1.7265,                 2.2572,                 1.0069,              0.0003004,              0.0003004,              0.0003004
                     78,                 1.6318,                 1.1938,                0.91997,                0.27062,                 0.2629,                0.25605,                0.16054,                 1.6952,                 2.3467,                 1.0006,             0.00029949,             0.00029949,             0.00029949
                     79,                   1.58,                 1.1625,                0.91636,                0.28841,                0.21674,                 0.2335,                0.13655,                 1.7422,                 2.1972,                 1.0027,             0.00029857,             0.00029857,             0.00029857
                     80,                 1.6299,                 1.1852,                0.91459,                0.21513,                0.32722,                0.21138,                0.12189,                 1.7689,                 2.2572,                 1.0217,             0.00029766,             0.00029766,             0.00029766
                     81,                 1.6029,                 1.1894,                  0.916,                0.26381,                0.23302,                0.21191,                0.11976,                 1.7342,                   2.19,                 1.0057,             0.00029674,             0.00029674,             0.00029674
                     82,                 1.6365,                 1.1744,                0.91802,                0.31818,                0.22072,                0.21268,                0.12018,                 1.7357,                  2.263,                 1.0138,             0.00029582,             0.00029582,             0.00029582
                     83,                 1.5988,                 1.1591,                0.92205,                0.30465,                0.22287,                0.20001,                0.11313,                 1.7243,                 2.2392,                 1.0066,             0.00029491,             0.00029491,             0.00029491
                     84,                 1.6193,                 1.1601,                0.91901,                0.27291,                 0.1995,                0.18946,                0.10943,                 1.7781,                 2.3838,                 1.0202,             0.00029399,             0.00029399,             0.00029399
                     85,                 1.5596,                  1.112,                0.92213,                0.27432,                 0.1745,                0.18166,                0.10297,                 1.7825,                 2.3412,                 1.0143,             0.00029308,             0.00029308,             0.00029308
                     86,                 1.6055,                 1.1531,                0.91731,                0.21248,                0.30241,                0.21274,                0.12049,                 1.7716,                 2.3025,                  1.013,             0.00029216,             0.00029216,             0.00029216
                     87,                 1.5966,                 1.1263,                0.91394,                0.27359,                0.22394,                0.18345,                0.10348,                 1.7336,                 2.4349,                  1.007,             0.00029125,             0.00029125,             0.00029125
                     88,                 1.6083,                 1.1373,                0.90685,                0.24509,                0.25504,                0.19389,                0.10315,                 1.7449,                 2.2751,                 1.0151,             0.00029033,             0.00029033,             0.00029033
                     89,                 1.5987,                 1.1269,                0.90997,                 0.1762,                 0.2892,                0.19407,                0.10308,                 1.8027,                 2.2539,                 1.0277,             0.00028941,             0.00028941,             0.00028941
                     90,                 1.5848,                 1.1192,                 0.9093,                0.27683,                0.20854,                0.19987,                0.10898,                 1.8049,                 2.4042,                 1.0312,              0.0002885,              0.0002885,              0.0002885
                     91,                 1.6073,                  1.109,                0.91544,                0.29018,                 0.2234,                0.19076,                0.10725,                 1.7549,                 2.3531,                 1.0215,             0.00028758,             0.00028758,             0.00028758
                     92,                 1.5826,                 1.1238,                0.91567,                0.25482,                0.22011,                0.17788,                 0.1023,                 1.7852,                  2.481,                 1.0166,             0.00028667,             0.00028667,             0.00028667
                     93,                 1.5711,                 1.0895,                0.90701,                0.38437,                0.17052,                0.18416,                0.10433,                 1.7259,                  2.343,                 1.0088,             0.00028575,             0.00028575,             0.00028575
                     94,                 1.5919,                 1.1214,                0.90447,                0.24062,                0.21222,                0.16967,                0.09639,                 1.7526,                 2.5666,                 1.0137,             0.00028484,             0.00028484,             0.00028484
                     95,                  1.588,                 1.0813,                0.90741,                0.18194,                0.32971,                0.19806,                0.11148,                 1.7397,                 2.2546,                 1.0055,             0.00028392,             0.00028392,             0.00028392
                     96,                 1.5406,                 1.0713,                0.90523,                0.27035,                0.24453,                0.20157,                0.11146,                 1.8252,                 2.2558,                 1.0341,               0.000283,               0.000283,               0.000283
                     97,                 1.5879,                 1.0886,                0.91086,                0.24931,                0.30717,                0.20628,                0.11498,                 1.7517,                 2.2263,                 1.0148,             0.00028209,             0.00028209,             0.00028209
                     98,                 1.5528,                 1.0539,                0.90714,                0.17989,                 0.2692,                0.20888,                0.11596,                 1.7398,                 2.1209,                  1.016,             0.00028117,             0.00028117,             0.00028117
                     99,                 1.5619,                 1.0541,                0.90281,                0.22568,                0.24513,                0.22783,                0.13338,                 1.7223,                 2.2017,                 1.0072,             0.00028026,             0.00028026,             0.00028026
                    100,                 1.5816,                 1.0902,                0.90808,                0.24755,                0.27707,                0.23241,                0.13415,                 1.7163,                 2.1575,                 1.0059,             0.00027934,             0.00027934,             0.00027934
                    101,                 1.5573,                  1.053,                0.91097,                0.20399,                0.24666,                0.18365,                0.10389,                  1.773,                 2.3682,                 1.0154,             0.00027842,             0.00027842,             0.00027842
                    102,                  1.562,                 1.0241,                0.90632,                0.17953,                0.23156,                0.19458,                 0.1092,                 1.7533,                 2.4058,                   1.01,             0.00027751,             0.00027751,             0.00027751
                    103,                 1.5401,                 1.0496,                0.90298,                0.16302,                0.24548,                 0.1873,                0.10781,                 1.7345,                 2.3476,                 1.0185,             0.00027659,             0.00027659,             0.00027659
                    104,                 1.5172,                 1.0387,                0.90698,                0.18431,                0.27867,                 0.2086,                0.11711,                 1.8061,                   2.27,                 1.0305,             0.00027568,             0.00027568,             0.00027568
                    105,                 1.5515,                  1.031,                0.90553,                0.18423,                0.26075,                0.21641,                0.12189,                 1.7649,                 2.3023,                 1.0258,             0.00027476,             0.00027476,             0.00027476
                    106,                 1.5396,                 1.0398,                0.90946,                0.26223,                0.20448,                0.21268,                0.11887,                 1.7481,                  2.199,                 1.0166,             0.00027385,             0.00027385,             0.00027385
                    107,                 1.5265,                 1.0265,                0.90129,                 0.2558,                0.23378,                0.19929,                0.11352,                 1.7696,                 2.2553,                 1.0134,             0.00027293,             0.00027293,             0.00027293
                    108,                 1.5188,                 1.0336,                0.90025,                0.23513,                0.24378,                0.18765,                0.10705,                 1.7976,                 2.3305,                 1.0247,             0.00027201,             0.00027201,             0.00027201
                    109,                 1.5369,                 1.0123,                0.90025,                0.16812,                0.25954,                0.19689,                0.11046,                 1.7566,                 2.2971,                 1.0145,              0.0002711,              0.0002711,              0.0002711
                    110,                 1.5275,                0.99971,                0.90471,                0.23964,                0.22914,                0.19288,                0.10778,                 1.7498,                 2.3205,                 1.0047,             0.00027018,             0.00027018,             0.00027018
                    111,                 1.5294,                 1.0096,                0.89844,                0.21408,                0.23428,                0.20684,                0.11905,                  1.771,                 2.3585,                  1.006,             0.00026927,             0.00026927,             0.00026927
                    112,                 1.5305,                 1.0192,                0.90634,                0.39329,                0.20247,                0.21453,                0.12384,                 1.7569,                  2.228,                  1.007,             0.00026835,             0.00026835,             0.00026835
                    113,                 1.5081,                 1.0091,                0.89536,                0.20374,                0.24353,                0.21007,                0.12247,                  1.763,                 2.5704,                 1.0053,             0.00026744,             0.00026744,             0.00026744
                    114,                 1.5333,                0.99025,                 0.8973,                0.21365,                0.23728,                0.20619,                0.11675,                  1.756,                 2.2716,                 1.0044,             0.00026652,             0.00026652,             0.00026652
                    115,                 1.5305,                0.99733,                0.89981,                 0.2682,                0.20795,                0.20553,                0.11761,                  1.761,                 2.3165,                 1.0171,              0.0002656,              0.0002656,              0.0002656
                    116,                 1.4936,                0.97254,                0.90117,                0.32849,                0.21509,                0.20797,                0.11736,                 1.7934,                 2.3324,                  1.024,             0.00026469,             0.00026469,             0.00026469
                    117,                 1.5259,                0.99003,                0.90335,                0.30884,                0.23425,                0.22562,                0.12918,                  1.789,                 2.3028,                 1.0227,             0.00026377,             0.00026377,             0.00026377
                    118,                 1.5349,                 1.0136,                0.89562,                0.17687,                0.26881,                0.24036,                0.13893,                 1.7278,                 2.1331,                 1.0091,             0.00026286,             0.00026286,             0.00026286
                    119,                 1.5141,                0.99091,                0.89873,                0.24015,                0.27615,                0.22931,                0.13173,                 1.7543,                 2.1717,                 1.0167,             0.00026194,             0.00026194,             0.00026194
                    120,                 1.5189,                0.98286,                0.89508,                0.21022,                0.31828,                0.20695,                0.12211,                 1.7252,                 2.4817,                 1.0106,             0.00026103,             0.00026103,             0.00026103
                    121,                 1.4927,                 0.9589,                 0.8979,                0.19495,                0.31722,                0.21698,                0.13258,                 1.6661,                 2.2118,                 1.0053,             0.00026011,             0.00026011,             0.00026011
