                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.8538,                 1.9195,                0.96497,                0.20213,                0.27496,                0.21845,                0.11475,                 1.7521,                 2.0482,                 1.0106,             0.00031506,             0.00031506,             0.00031506
                     32,                 1.7874,                   1.82,                0.95916,                0.20756,                 0.2461,                0.19391,                0.10998,                 1.7076,                 2.1571,                0.99639,             0.00031322,             0.00031322,             0.00031322
                     33,                 1.8361,                 1.8752,                0.96432,                0.20956,                0.23233,                0.17294,                0.09758,                 1.7472,                 2.2463,                 1.0188,             0.00031139,             0.00031139,             0.00031139
                     34,                 1.8249,                 1.7904,                0.95514,                0.19686,                0.22046,                0.18818,                0.10386,                  1.737,                  2.166,                 1.0051,             0.00030956,             0.00030956,             0.00030956
                     35,                 1.7957,                 1.7497,                0.95753,                0.25582,                0.24713,                0.19053,                0.10234,                 1.7538,                 2.2894,                 1.0284,             0.00030773,             0.00030773,             0.00030773
                     36,                 1.7859,                 1.7346,                0.95548,                0.28293,                0.23893,                0.20442,                0.11006,                 1.7326,                 2.0906,                 1.0084,              0.0003059,              0.0003059,              0.0003059
                     37,                 1.7885,                 1.7073,                0.95009,                0.16941,                0.23085,                0.17826,                 0.0981,                 1.7114,                 2.2996,                 1.0085,             0.00030407,             0.00030407,             0.00030407
                     38,                 1.8065,                 1.7161,                0.95227,                 0.1933,                0.27193,                0.19253,                0.10653,                 1.7281,                 2.1618,                 1.0293,             0.00030223,             0.00030223,             0.00030223
                     39,                  1.851,                 1.7388,                0.95302,                0.16165,                 0.3058,                0.18995,                0.10123,                 1.6973,                 2.1513,                 1.0086,              0.0003004,              0.0003004,              0.0003004
                     40,                 1.7901,                 1.6752,                0.95349,                0.39564,                0.19564,                0.20637,                0.11012,                 1.8009,                 2.1799,                 1.0141,             0.00029857,             0.00029857,             0.00029857
                     41,                 1.7823,                 1.6507,                0.95072,                0.25948,                0.25435,                0.18334,                  0.097,                 1.8807,                 2.1798,                 1.0467,             0.00029674,             0.00029674,             0.00029674
                     42,                 1.7665,                 1.6196,                0.94982,                0.16855,                0.24212,                0.15743,                0.08828,                 1.7158,                 2.3575,                0.99826,             0.00029491,             0.00029491,             0.00029491
                     43,                   1.76,                 1.6147,                0.95044,                0.16606,                0.28089,                0.17598,                0.10314,                   1.69,                 2.3491,                 1.0044,             0.00029308,             0.00029308,             0.00029308
                     44,                 1.8266,                  1.652,                0.95376,                0.23441,                0.29833,                0.25527,                0.16254,                 1.6879,                 2.2273,                 1.0005,             0.00029125,             0.00029125,             0.00029125
                     45,                   1.78,                 1.5702,                0.94305,                0.21282,                0.23837,                0.20758,                0.12149,                 1.6657,                 2.2808,                0.99588,             0.00028941,             0.00028941,             0.00028941
                     46,                 1.7509,                 1.5353,                 0.9454,                0.31398,                0.23372,                0.21302,                 0.1153,                 1.7498,                 2.1114,                   1.02,             0.00028758,             0.00028758,             0.00028758
                     47,                 1.7261,                 1.5365,                0.94971,                0.25516,                0.19122,                0.17899,                0.10211,                 1.7467,                 2.4018,                 1.0046,             0.00028575,             0.00028575,             0.00028575
                     48,                 1.7465,                 1.4885,                0.94536,                0.24724,                0.22894,                0.18387,                0.10542,                 1.7422,                 2.2717,                 1.0025,             0.00028392,             0.00028392,             0.00028392
                     49,                 1.7115,                  1.488,                0.94431,                0.25572,                0.27998,                0.23454,                 0.1306,                 1.7409,                 2.1052,                 1.0106,             0.00028209,             0.00028209,             0.00028209
                     50,                 1.7123,                 1.4787,                0.93514,                0.25467,                0.25205,                0.22652,                0.12816,                 1.7117,                 2.1487,                 1.0268,             0.00028026,             0.00028026,             0.00028026
                     51,                 1.7156,                 1.4732,                0.94194,                0.21663,                0.24756,                0.20545,                0.11601,                  1.701,                 2.1976,                 1.0063,             0.00027842,             0.00027842,             0.00027842
                     52,                 1.7319,                 1.4674,                0.94791,                0.33941,                0.20704,                0.21293,                0.11789,                 1.7088,                 2.1488,                  1.014,             0.00027659,             0.00027659,             0.00027659
